api,threads,time
serial,1,0.131370
openmp,1,0.133202
threads,1,0.139400
serial,1,0.131657
openmp,2,0.067923
threads,2,0.071097
serial,1,0.133501
openmp,4,0.037595
threads,4,0.049368
serial,1,0.146525
openmp,8,0.027573
threads,8,0.032578
serial,1,0.142122
openmp,16,0.017670
threads,16,0.017462
serial,1,0.135943
openmp,1,0.138745
threads,1,0.138705
serial,1,0.131471
openmp,2,0.068333
threads,2,0.072836
serial,1,0.138300
openmp,4,0.037254
threads,4,0.052481
serial,1,0.143352
openmp,8,0.027560
threads,8,0.027331
serial,1,0.140857
openmp,16,0.017545
threads,16,0.017923
serial,1,0.136713
openmp,1,0.139413
threads,1,0.137654
serial,1,0.134410
openmp,2,0.070256
threads,2,0.070545
serial,1,0.133216
openmp,4,0.036142
threads,4,0.051818
serial,1,0.131562
openmp,8,0.027191
threads,8,0.032544
serial,1,0.134602
openmp,16,0.019582
threads,16,0.017899
serial,1,0.132121
openmp,1,0.136417
threads,1,0.140820
serial,1,0.131602
openmp,2,0.069014
threads,2,0.071411
serial,1,0.132336
openmp,4,0.038466
threads,4,0.052400
serial,1,0.138347
openmp,8,0.029903
threads,8,0.028389
serial,1,0.137609
openmp,16,0.017400
threads,16,0.017521
serial,1,0.137510
openmp,1,0.140075
threads,1,0.139704
serial,1,0.131647
openmp,2,0.068734
threads,2,0.071049
serial,1,0.133356
openmp,4,0.045977
threads,4,0.041316
serial,1,0.137108
openmp,8,0.027902
threads,8,0.032964
serial,1,0.131921
openmp,16,0.018983
threads,16,0.018201
