api,threads,time
serial,1,0.135352
openmp,1,0.139321
threads,1,0.137509
serial,1,0.135807
openmp,2,0.069751
threads,2,0.070159
serial,1,0.138668
openmp,4,0.038198
threads,4,0.045896
serial,1,0.138702
openmp,8,0.027830
threads,8,0.033279
serial,1,0.139029
openmp,16,0.019212
threads,16,0.018336
serial,1,0.136683
openmp,32,0.020294
threads,32,0.019090
serial,1,0.140241
openmp,64,0.024755
threads,64,0.016016
serial,1,0.138162
openmp,1,0.143762
threads,1,0.138583
serial,1,0.148112
openmp,2,0.073274
threads,2,0.081848
serial,1,0.139030
openmp,4,0.037395
threads,4,0.051831
serial,1,0.138538
openmp,8,0.028018
threads,8,0.032455
serial,1,0.140030
openmp,16,0.017404
threads,16,0.018099
serial,1,0.138157
openmp,32,0.019623
threads,32,0.015691
serial,1,0.141039
openmp,64,0.017866
threads,64,0.015097
serial,1,0.139767
openmp,1,0.144908
threads,1,0.137828
serial,1,0.136898
openmp,2,0.074188
threads,2,0.079273
serial,1,0.138288
openmp,4,0.038148
threads,4,0.052430
serial,1,0.141394
openmp,8,0.030712
threads,8,0.032444
serial,1,0.138883
openmp,16,0.017699
threads,16,0.017631
serial,1,0.140900
openmp,32,0.022653
threads,32,0.016012
serial,1,0.138152
openmp,64,0.021026
threads,64,0.016956
serial,1,0.140870
openmp,1,0.145497
threads,1,0.138739
serial,1,0.139337
openmp,2,0.074103
threads,2,0.071105
serial,1,0.142694
openmp,4,0.037992
threads,4,0.054292
serial,1,0.140144
openmp,8,0.028750
threads,8,0.032564
serial,1,0.142562
openmp,16,0.020154
threads,16,0.017924
serial,1,0.139123
openmp,32,0.020263
threads,32,0.015703
serial,1,0.140033
openmp,64,0.016464
threads,64,0.015055
serial,1,0.139753
openmp,1,0.146848
threads,1,0.138025
serial,1,0.138012
openmp,2,0.072900
threads,2,0.068637
serial,1,0.138356
openmp,4,0.039357
threads,4,0.045318
serial,1,0.141176
openmp,8,0.032283
threads,8,0.028919
serial,1,0.141765
openmp,16,0.019791
threads,16,0.017644
serial,1,0.137835
openmp,32,0.023934
threads,32,0.016229
serial,1,0.141888
openmp,64,0.016563
threads,64,0.016389
serial,1,0.140162
openmp,1,0.147922
threads,1,0.141332
serial,1,0.138277
openmp,2,0.074595
threads,2,0.078470
serial,1,0.139855
openmp,4,0.038829
threads,4,0.050070
serial,1,0.144431
openmp,8,0.027912
threads,8,0.028920
serial,1,0.139888
openmp,16,0.019940
threads,16,0.017823
serial,1,0.143037
openmp,32,0.016565
threads,32,0.015787
serial,1,0.140960
openmp,64,0.017421
threads,64,0.015760
