api,threads,time, i
serial,1,317.673285,1
openmp,1,316.167677,1
threads,1,323.291590,1
serial,1,333.506422,1
openmp,1,312.107534,1
threads,1,317.557648,1
serial,1,315.232028,1
openmp,1,304.706004,1
threads,1,331.830633,1
serial,1,317.410504,1
openmp,1,317.995063,1
threads,1,316.371532,1
serial,1,314.387753,1
openmp,1,309.456147,1
threads,1,316.001702,1
serial,1,310.347971,1
openmp,1,307.120865,1
threads,1,320.408465,1
serial,1,317.241250,1
openmp,1,320.994133,1
threads,1,321.868836,1
serial,1,308.421245,1
openmp,1,311.028588,1
threads,1,328.962176,1
serial,1,325.075286,1
openmp,1,311.770772,1
threads,1,329.396373,1
serial,1,318.856201,1
openmp,1,321.508026,1
threads,1,323.987290,1
serial,1,319.969868,2
openmp,2,194.444840,2
threads,2,187.138571,2
serial,1,314.710879,2
openmp,2,185.961625,2
threads,2,186.809588,2
serial,1,304.885125,2
openmp,2,195.930235,2
threads,2,201.594078,2
serial,1,321.068809,2
openmp,2,197.588372,2
threads,2,194.115864,2
serial,1,309.696488,2
openmp,2,189.074560,2
threads,2,188.058361,2
serial,1,314.494899,2
openmp,2,197.422223,2
threads,2,192.956000,2
serial,1,319.455115,2
openmp,2,196.237360,2
threads,2,190.308000,2
serial,1,322.999841,2
openmp,2,179.120355,2
threads,2,180.400325,2
serial,1,317.545477,2
openmp,2,197.809792,2
threads,2,190.652844,2
serial,1,319.080143,2
openmp,2,185.041593,2
threads,2,194.808199,2
serial,1,307.266597,4
openmp,4,124.839543,4
threads,4,130.526671,4
serial,1,308.727455,4
openmp,4,118.443287,4
threads,4,126.900303,4
serial,1,310.444339,4
openmp,4,118.407552,4
threads,4,131.200117,4
serial,1,310.204448,4
openmp,4,118.948666,4
threads,4,128.343279,4
serial,1,323.341228,4
openmp,4,119.180003,4
threads,4,130.292962,4
serial,1,310.143780,4
openmp,4,120.273829,4
threads,4,117.806885,4
serial,1,322.531095,4
openmp,4,121.702502,4
threads,4,139.578408,4
serial,1,320.693625,4
openmp,4,121.542969,4
threads,4,133.590324,4
serial,1,309.504721,4
openmp,4,118.588065,4
threads,4,128.398539,4
serial,1,308.620044,4
openmp,4,118.713427,4
threads,4,137.049216,4
serial,1,319.286482,8
openmp,8,106.662661,8
threads,8,100.379979,8
serial,1,308.438725,8
openmp,8,98.792902,8
threads,8,99.772841,8
serial,1,308.059020,8
openmp,8,98.254482,8
threads,8,105.789732,8
serial,1,319.976685,8
openmp,8,106.179888,8
threads,8,109.001217,8
serial,1,307.725919,8
openmp,8,99.628588,8
threads,8,99.431320,8
serial,1,311.981241,8
openmp,8,99.291438,8
threads,8,99.981598,8
serial,1,318.831610,8
openmp,8,105.632984,8
threads,8,109.160392,8
serial,1,319.123082,8
openmp,8,106.908628,8
threads,8,97.495769,8
serial,1,309.279434,8
openmp,8,100.148420,8
threads,8,100.875429,8
serial,1,310.960672,8
openmp,8,98.374920,8
threads,8,104.246808,8
serial,1,310.622184,16
openmp,16,77.783405,16
threads,16,82.879307,16
serial,1,320.734120,16
openmp,16,77.746359,16
threads,16,80.605692,16
serial,1,311.705558,16
openmp,16,78.952115,16
threads,16,78.882427,16
serial,1,309.880728,16
openmp,16,78.277553,16
threads,16,79.302942,16
serial,1,312.163306,16
openmp,16,77.053520,16
threads,16,79.273820,16
serial,1,310.975572,16
openmp,16,78.554596,16
threads,16,82.683401,16
serial,1,345.478177,16
openmp,16,79.182959,16
threads,16,82.138690,16
serial,1,309.008416,16
openmp,16,77.206862,16
threads,16,78.150347,16
serial,1,317.056925,16
openmp,16,78.461469,16
threads,16,78.654743,16
serial,1,320.491886,16
openmp,16,78.516511,16
threads,16,84.531233,16
serial,1,319.501868,32
openmp,32,74.676711,32
threads,32,88.871932,32
serial,1,318.643297,32
openmp,32,76.889677,32
threads,32,79.634511,32
serial,1,309.257504,32
openmp,32,77.702633,32
threads,32,76.849809,32
serial,1,307.529927,32
openmp,32,75.548428,32
threads,32,81.296836,32
serial,1,318.716650,32
openmp,32,90.201853,32
threads,32,85.053064,32
serial,1,311.361847,32
openmp,32,78.880310,32
threads,32,83.299082,32
serial,1,309.729745,32
openmp,32,75.974737,32
threads,32,78.284922,32
serial,1,322.123170,32
openmp,32,78.905148,32
threads,32,78.814754,32
serial,1,309.016067,32
openmp,32,81.496417,32
threads,32,77.644021,32
serial,1,309.167734,32
openmp,32,84.033693,32
threads,32,78.578680,32
serial,1,322.767753,64
openmp,64,75.215601,64
threads,64,75.015193,64
serial,1,328.876831,64
openmp,64,74.082018,64
threads,64,75.057589,64
serial,1,308.352425,64
openmp,64,72.678952,64
threads,64,73.929839,64
serial,1,315.444757,64
openmp,64,73.652182,64
threads,64,72.388995,64
serial,1,319.385903,64
openmp,64,73.474851,64
threads,64,74.929065,64
serial,1,319.694420,64
openmp,64,74.655715,64
threads,64,74.973206,64
serial,1,310.155300,64
openmp,64,75.385335,64
threads,64,74.202596,64
serial,1,311.241638,64
openmp,64,73.234688,64
threads,64,72.785221,64
serial,1,315.742953,64
openmp,64,73.416868,64
threads,64,72.816181,64
serial,1,318.773334,64
openmp,64,72.787482,64
threads,64,75.470482,64
