api,threads,time,benchmarkNumber
serial,1,1067.990612,1
openmp,1,1133.171419,1
threads,1,1210.607337,1
serial,1,1055.365972,1
openmp,1,1134.347083,1
threads,1,1067.599403,1
serial,1,1239.428996,1
openmp,1,1250.300636,1
threads,1,1193.787288,1
serial,1,1279.837421,1
openmp,1,1256.048962,1
threads,1,1073.359047,1
serial,1,1220.538072,1
openmp,1,1249.427830,1
threads,1,1211.857346,1
serial,1,1271.569829,1
openmp,1,1260.053105,1
threads,1,1203.620595,1
serial,1,1225.421826,1
openmp,1,1257.011719,1
threads,1,1211.779922,1
serial,1,1247.964862,1
openmp,1,1255.362471,1
threads,1,1234.182490,1
serial,1,1230.297835,1
openmp,1,1269.133696,1
threads,1,1220.284377,1
serial,1,1241.829877,1
openmp,1,1271.185024,1
threads,1,1236.346503,1
serial,1,1261.425522,2
openmp,2,667.002171,2
threads,2,624.537193,2
serial,1,1284.972043,2
openmp,2,669.379389,2
threads,2,620.511142,2
serial,1,1292.299792,2
openmp,2,664.689182,2
threads,2,618.140386,2
serial,1,1256.529262,2
openmp,2,666.400278,2
threads,2,631.513298,2
serial,1,1315.505380,2
openmp,2,664.994972,2
threads,2,615.000971,2
serial,1,1142.604081,2
openmp,2,639.310736,2
threads,2,596.697316,2
serial,1,1105.145805,2
openmp,2,647.416281,2
threads,2,630.855271,2
serial,1,1123.989197,2
openmp,2,667.710497,2
threads,2,587.595236,2
serial,1,1125.617554,2
openmp,2,667.219873,2
threads,2,649.260812,2
serial,1,1125.748475,2
openmp,2,666.327646,2
threads,2,606.176805,2
serial,1,1081.337873,4
openmp,4,329.011588,4
threads,4,330.106345,4
serial,1,1086.417479,4
openmp,4,323.524471,4
threads,4,301.258759,4
serial,1,1094.364936,4
openmp,4,445.446252,4
threads,4,333.618908,4
serial,1,1140.187558,4
openmp,4,333.345105,4
threads,4,298.107669,4
serial,1,1279.673109,4
openmp,4,322.764600,4
threads,4,324.287840,4
serial,1,1259.637856,4
openmp,4,320.260401,4
threads,4,345.023232,4
serial,1,1268.551082,4
openmp,4,326.695488,4
threads,4,314.775588,4
serial,1,1171.358914,4
openmp,4,346.357667,4
threads,4,334.549007,4
serial,1,1092.986568,4
openmp,4,397.229850,4
threads,4,324.465069,4
serial,1,1103.111792,4
openmp,4,388.327290,4
threads,4,296.544540,4
serial,1,1365.855581,8
openmp,8,187.080902,8
threads,8,179.542123,8
serial,1,1341.489086,8
openmp,8,186.853559,8
threads,8,166.092750,8
serial,1,1262.804705,8
openmp,8,193.838339,8
threads,8,175.655449,8
serial,1,1100.158396,8
openmp,8,244.210009,8
threads,8,174.231784,8
serial,1,1100.755555,8
openmp,8,182.798998,8
threads,8,180.819911,8
serial,1,1104.801624,8
openmp,8,167.581130,8
threads,8,167.501768,8
serial,1,1105.875726,8
openmp,8,174.290813,8
threads,8,178.205419,8
serial,1,1105.974037,8
openmp,8,180.815289,8
threads,8,173.655882,8
serial,1,1102.011245,8
openmp,8,176.508284,8
threads,8,161.925708,8
serial,1,1180.548834,8
openmp,8,185.222325,8
threads,8,165.201566,8
serial,1,1103.143959,16
openmp,16,130.431091,16
threads,16,124.840297,16
serial,1,1099.291764,16
openmp,16,133.872146,16
threads,16,108.530699,16
serial,1,1271.414860,16
openmp,16,155.398245,16
threads,16,134.042704,16
serial,1,1314.753721,16
openmp,16,168.620956,16
threads,16,122.800197,16
serial,1,1167.996560,16
openmp,16,173.628125,16
threads,16,120.139226,16
serial,1,1207.581911,16
openmp,16,134.095694,16
threads,16,131.495359,16
serial,1,1329.462704,16
openmp,16,132.670440,16
threads,16,103.427397,16
serial,1,1329.270362,16
openmp,16,154.461150,16
threads,16,124.126185,16
serial,1,1309.365312,16
openmp,16,186.634300,16
threads,16,116.839536,16
serial,1,1143.145842,16
openmp,16,139.553964,16
threads,16,125.103240,16
serial,1,1115.801754,32
openmp,32,126.531929,32
threads,32,125.082055,32
serial,1,1119.405151,32
openmp,32,128.955989,32
threads,32,133.963371,32
serial,1,1122.700002,32
openmp,32,124.256123,32
threads,32,122.250371,32
serial,1,1116.655025,32
openmp,32,120.856492,32
threads,32,112.651381,32
serial,1,1119.567929,32
openmp,32,116.028053,32
threads,32,125.608577,32
serial,1,1293.087036,32
openmp,32,162.942365,32
threads,32,115.671973,32
serial,1,1323.051191,32
openmp,32,141.033736,32
threads,32,116.006433,32
serial,1,1317.325901,32
openmp,32,139.501630,32
threads,32,122.323738,32
serial,1,1348.278746,32
openmp,32,122.803015,32
threads,32,119.026523,32
serial,1,1332.975581,32
openmp,32,142.700006,32
threads,32,138.198067,32
serial,1,1122.789393,64
openmp,64,102.703414,64
threads,64,109.867151,64
serial,1,1148.884521,64
openmp,64,103.788683,64
threads,64,105.367285,64
serial,1,1336.579348,64
openmp,64,118.444119,64
threads,64,106.102570,64
serial,1,1329.674787,64
openmp,64,103.999577,64
threads,64,104.813775,64
serial,1,1121.282715,64
openmp,64,102.765245,64
threads,64,111.248849,64
serial,1,1126.226019,64
openmp,64,112.670333,64
threads,64,116.393757,64
serial,1,1132.320506,64
openmp,64,110.118722,64
threads,64,131.948321,64
serial,1,1204.696367,64
openmp,64,113.272789,64
threads,64,109.105746,64
serial,1,1237.180360,64
openmp,64,110.240049,64
threads,64,119.727707,64
serial,1,1340.147044,64
openmp,64,105.736335,64
threads,64,116.513709,64
