api,threads,time
serial,1,370.749816,1
openmp,1,415.958019,1
threads,1,383.984876,1
serial,1,376.580583,1
openmp,1,417.145894,1
threads,1,371.350254,1
serial,1,378.538558,1
openmp,1,417.507632,1
threads,1,380.177468,1
serial,1,379.140260,1
openmp,1,418.436167,1
threads,1,398.557074,1
serial,1,396.726829,1
openmp,1,446.624875,1
threads,1,411.970495,1
serial,1,395.302420,1
openmp,1,436.701521,1
threads,1,375.829696,1
serial,1,395.546610,1
openmp,1,435.766932,1
threads,1,390.689593,1
serial,1,401.220441,1
openmp,1,438.744706,1
threads,1,380.923698,1
serial,1,401.239980,1
openmp,1,446.257607,1
threads,1,398.439770,1
serial,1,398.106772,1
openmp,1,454.261996,1
threads,1,379.534003,1
serial,1,373.744374,2
openmp,2,210.364805,2
threads,2,194.773514,2
serial,1,378.022778,2
openmp,2,217.036502,2
threads,2,197.186855,2
serial,1,397.230633,2
openmp,2,227.508683,2
threads,2,203.494458,2
serial,1,381.646271,2
openmp,2,215.485040,2
threads,2,200.823565,2
serial,1,389.263794,2
openmp,2,218.015752,2
threads,2,203.896904,2
serial,1,382.887598,2
openmp,2,215.888860,2
threads,2,195.584651,2
serial,1,383.480158,2
openmp,2,219.404472,2
threads,2,200.138715,2
serial,1,378.410183,2
openmp,2,218.850351,2
threads,2,197.854833,2
serial,1,397.081784,2
openmp,2,221.750901,2
threads,2,197.782015,2
serial,1,379.558794,2
openmp,2,218.314876,2
threads,2,200.179414,2
serial,1,374.803936,4
openmp,4,114.049303,4
threads,4,105.606399,4
serial,1,382.932780,4
openmp,4,121.254127,4
threads,4,119.256322,4
serial,1,379.734735,4
openmp,4,114.884319,4
threads,4,120.962915,4
serial,1,380.961543,4
openmp,4,115.457271,4
threads,4,126.107697,4
serial,1,385.522296,4
openmp,4,116.389585,4
threads,4,110.407069,4
serial,1,383.951510,4
openmp,4,127.612729,4
threads,4,117.730114,4
serial,1,400.674804,4
openmp,4,135.421025,4
threads,4,116.758105,4
serial,1,401.163002,4
openmp,4,124.104320,4
threads,4,122.746240,4
serial,1,399.554168,4
openmp,4,125.219122,4
threads,4,117.338017,4
serial,1,400.347061,4
openmp,4,138.400693,4
threads,4,120.690866,4
serial,1,374.189666,8
openmp,8,84.497454,8
threads,8,77.593811,8
serial,1,380.862207,8
openmp,8,84.425745,8
threads,8,78.405185,8
serial,1,378.409622,8
openmp,8,85.135220,8
threads,8,88.481875,8
serial,1,379.626488,8
openmp,8,86.377319,8
threads,8,79.766327,8
serial,1,384.316044,8
openmp,8,86.380269,8
threads,8,81.343081,8
serial,1,383.252847,8
openmp,8,85.735403,8
threads,8,80.452073,8
serial,1,387.734191,8
openmp,8,86.229804,8
threads,8,79.473611,8
serial,1,383.294033,8
openmp,8,86.588220,8
threads,8,81.193928,8
serial,1,386.751951,8
openmp,8,87.649582,8
threads,8,86.155794,8
serial,1,404.334307,8
openmp,8,88.080208,8
threads,8,89.898952,8
serial,1,377.740044,16
openmp,16,56.529801,16
threads,16,57.051597,16
serial,1,394.125451,16
openmp,16,59.081941,16
threads,16,56.931700,16
serial,1,407.269666,16
openmp,16,64.903805,16
threads,16,55.305385,16
serial,1,405.868370,16
openmp,16,63.616150,16
threads,16,57.304013,16
serial,1,389.673620,16
openmp,16,59.507675,16
threads,16,56.685520,16
serial,1,389.886837,16
openmp,16,58.808917,16
threads,16,57.503889,16
serial,1,390.090987,16
openmp,16,58.787077,16
threads,16,58.728622,16
serial,1,388.395354,16
openmp,16,59.586183,16
threads,16,58.138826,16
serial,1,386.895595,16
openmp,16,61.020619,16
threads,16,57.402999,16
serial,1,387.835411,16
openmp,16,59.486117,16
threads,16,56.942611,16
serial,1,405.122591,32
openmp,32,64.002337,32
threads,32,60.124567,32
serial,1,407.066227,32
openmp,32,63.143226,32
threads,32,61.809864,32
serial,1,385.141914,32
openmp,32,60.270067,32
threads,32,60.866525,32
serial,1,392.676446,32
openmp,32,66.751645,32
threads,32,57.636423,32
serial,1,390.575881,32
openmp,32,65.842486,32
threads,32,56.143358,32
serial,1,407.723886,32
openmp,32,59.387954,32
threads,32,56.342352,32
serial,1,409.126990,32
openmp,32,60.840067,32
threads,32,62.351596,32
serial,1,410.712913,32
openmp,32,59.401594,32
threads,32,59.969208,32
serial,1,387.273957,32
openmp,32,61.667597,32
threads,32,55.631843,32
serial,1,392.849470,32
openmp,32,59.162990,32
threads,32,57.947788,32
serial,1,381.608967,64
openmp,64,50.430195,64
threads,64,51.502539,64
serial,1,391.251000,64
openmp,64,56.028040,64
threads,64,49.708488,64
serial,1,390.954914,64
openmp,64,57.357002,64
threads,64,53.199003,64
serial,1,393.254980,64
openmp,64,52.107407,64
threads,64,55.827566,64
serial,1,390.304051,64
openmp,64,56.577989,64
threads,64,53.299834,64
serial,1,388.994388,64
openmp,64,53.303900,64
threads,64,53.938031,64
serial,1,392.267045,64
openmp,64,54.249515,64
threads,64,52.138399,64
serial,1,399.336221,64
openmp,64,57.980571,64
threads,64,50.454406,64
serial,1,395.206102,64
openmp,64,54.387718,64
threads,64,51.152486,64
serial,1,391.647502,64
openmp,64,56.541795,64
threads,64,49.553088,64
